index,time_us,ax,ay,az
0,1047,1.24498,-1.03190,-9.38288
1,2009,0.30646,0.03352,-9.67257
2,2965,0.69671,-0.36631,-9.61272
3,3955,1.41258,-0.95768,-9.35893
4,4955,0.33040,0.12210,-9.71088
5,5956,0.64404,-0.70390,-9.46428
6,6955,0.66319,-0.43096,-9.62230
7,7955,0.59137,-0.42377,-9.60314
8,8956,0.50518,-0.40941,-9.50977
9,9955,0.76614,-0.62968,-9.55526
10,10955,0.64165,-0.29928,-9.58399
11,11956,0.59137,-0.69192,-9.54089
12,12955,0.83079,-0.29209,-9.55765
13,13955,0.85952,-0.74699,-9.50498
14,14956,0.34955,-0.33519,-9.57920
15,15955,0.80685,-0.54827,-9.55287
16,16955,1.04148,-0.63207,-9.42118
17,17956,0.11013,0.18675,-9.67736
18,18955,1.29047,-0.75657,-9.37809
19,19955,0.93853,-0.54588,-9.47864
20,20956,0.35913,-0.08140,-9.65821
21,21955,0.84515,-0.75417,-9.39964
22,22955,0.59376,-0.32561,-9.60314
23,23955,0.67038,-0.39265,-9.57202
24,24956,0.62489,-0.44293,-9.59596
25,25955,0.88585,-0.41659,-9.53132
26,26956,0.43096,-0.55545,-9.57441
27,27955,0.79248,-0.55067,-9.53611
28,28955,0.78769,-0.35434,-9.67018
29,29956,0.81163,-0.72784,-9.58160
30,30955,0.23703,-0.11732,-9.66539
31,31955,1.17555,-0.94332,-9.40921
32,32956,0.64404,-0.19154,-9.52653
33,33955,0.31603,0.00000,-9.61990
34,34955,1.52271,-0.91459,-9.35654
35,35956,0.56503,-0.11732,-9.77313
36,36955,0.50518,-0.40941,-9.60314
37,37955,0.76854,-0.49321,-9.53132
38,38955,0.59137,-0.29449,-9.63906
39,39956,0.62010,-0.36392,-9.50977
40,40955,0.72065,-0.59855,-9.52892
41,41955,0.86910,-0.31843,-9.55765
42,42955,0.51236,-0.80685,-9.58878
43,43955,0.80445,-0.31364,-9.63666
44,44955,0.77333,-0.58179,-9.64384
45,45956,0.55785,-0.55306,-9.55047
46,46955,0.39504,-0.19393,-9.63666
47,47955,1.20428,-0.95529,-9.44273
48,48955,0.23703,0.11253,-9.71328
49,49956,0.78051,-0.51954,-9.52892
50,50955,1.27850,-0.86191,-9.42358
51,51955,0.29209,0.06225,-9.75158
52,52955,0.65362,-0.74460,-9.45949
53,53955,0.68953,-0.39983,-9.57920
54,54955,0.67995,-0.42138,-9.57681
55,55956,0.61052,-0.35434,-9.53611
56,56955,0.87149,-0.60094,-9.54568
57,57955,0.60334,-0.30646,-9.53611
58,58955,0.62489,-0.70868,-9.51216
59,59955,0.83558,-0.27773,-9.65342
60,60955,0.84515,-0.67516,-9.57681
61,61955,0.36871,-0.25379,-9.51695
62,62955,0.80445,-0.50757,-9.54089
63,63956,1.03430,-0.62010,-9.49062
64,64955,0.05507,0.16759,-9.68455
65,65955,1.25696,-0.75896,-9.31105
66,66955,0.96965,-0.55785,-9.50737
67,67955,0.32801,-0.07183,-9.77074
68,68955,0.85473,-0.72305,-9.42118
69,69956,0.67277,-0.27294,-9.61511
70,70955,0.73981,-0.42617,-9.55047
